# T P mol abs
1.500000000000000000e+03 1.977809231672607304e-02 2.261418650111233019e+22 5.926735291474629567e-06
1.508724832214765001e+03 2.299684422477771620e-02 2.627132132165731064e+22 6.872792733803991262e-06
1.517449664429530230e+03 2.669489446671706109e-02 3.046890369717473640e+22 7.955978073041571649e-06
1.526174496644295232e+03 3.093691367749991372e-02 3.527917726968114577e+22 9.194050542541718377e-06
1.534899328859060461e+03 3.579538012860267182e-02 4.078300587057570696e+22 1.060676613516772216e-05
1.543624161073825462e+03 4.135140902243296390e-02 4.707077524982744901e+22 1.221605991571746252e-05
1.552348993288590691e+03 4.769565746649750276e-02 5.424337538603399355e+22 1.364245156899891009e-05
1.561073825503355692e+03 5.492931085562885452e-02 6.241326928609182063e+22 1.565968018904254159e-05
1.569798657718120921e+03 6.316515673065900560e-02 7.170565451445771960e+22 1.794604362350921435e-05
1.578523489932885923e+03 7.252875253647664278e-02 8.225972403537618928e+22 2.053319937682786760e-05
1.587248322147650924e+03 8.315969407188064655e-02 9.423003330721202831e+22 2.345592921726256811e-05
1.595973154362416153e+03 9.521299180843388610e-02 1.077879809362662932e+23 2.675236097860718835e-05
1.604697986577181155e+03 1.088605626561621187e-01 1.231234105784066208e+23 3.046419208918490565e-05
1.613422818791946383e+03 1.242928451708821963e-01 1.404463421706224596e+23 3.463691183285368732e-05
1.622147651006711385e+03 1.417205466317407736e-01 1.599888409814223972e+23 3.932001871911724913e-05
1.630872483221476614e+03 1.613765308687580002e-01 1.820070333889917475e+23 4.456722865731576716e-05
1.639597315436241615e+03 1.835178561894045546e-01 2.067832787293936403e+23 5.043666890516004478e-05
1.648322147651006617e+03 2.084279732411635222e-01 2.346285070040334661e+23 5.699105201399850618e-05
1.657046979865771846e+03 2.364190931543024010e-01 2.658847326962569382e+23 6.132960976553427062e-05
1.665771812080536847e+03 2.678347368364979442e-01 3.009277554215591933e+23 6.909593735568809265e-05
1.674496644295302076e+03 3.030524768393457191e-01 3.401700586246769234e+23 7.772626251736592599e-05
1.683221476510067077e+03 3.424868837868774718e-01 3.840639180398568030e+23 8.729990556453096030e-05
1.691946308724832306e+03 3.865926899492260205e-01 4.331047321484110374e+23 9.790106278502782439e-05
1.700671140939597308e+03 4.358681831611942448e-01 4.878345874001119507e+23 1.096187392898261139e-04
1.709395973154362309e+03 4.908588449271042431e-01 5.488460715126665228e+23 1.225466132611761504e-04
1.718120805369127538e+03 5.521612472208736744e-01 6.167863487264470126e+23 1.367828248255824070e-04
1.726845637583892540e+03 6.204272231852594466e-01 6.923615114703546740e+23 1.524296843579172462e-04
1.735570469798657768e+03 6.963683276578540582e-01 7.763412234892935776e+23 1.695932974025112557e-04
1.744295302013422770e+03 7.807606042052016582e-01 8.695636700946089095e+23 1.883831067125153183e-04
1.753020134228187999e+03 8.744496761321111089e-01 9.729408318265339245e+23 1.993068053576436982e-04
1.761744966442953000e+03 9.783561797522890569e-01 1.087464098462289835e+24 2.207516909605848241e-04
1.770469798657718002e+03 1.093481559060899055e+00 1.214210240965670701e+24 2.441019562284870575e-04
1.779194630872483231e+03 1.220914241841362546e+00 1.354347759653971730e+24 2.694740455025814276e-04
1.787919463087248459e+03 1.361836218169895751e+00 1.509143627556656347e+24 2.969851137376933528e-04
1.796644295302013461e+03 1.517530043254258443e+00 1.679970448657731163e+24 3.267524067391395799e-04
1.805369127516778462e+03 1.689386287559913935e+00 1.868314051450543215e+24 6.950931537235228780e-04
1.814093959731543691e+03 1.878911458240689614e+00 2.075781538991068802e+24 7.563890803731892218e-04
1.822818791946308693e+03 2.087736417003954070e+00 2.304109817413525037e+24 8.216136732319072973e-04
1.831543624161073694e+03 2.317625320705964498e+00 2.555174625671756684e+24 8.909237996172551756e-04
1.840268456375838923e+03 2.570485112193752641e+00 2.831000090091287497e+24 9.644926261286834680e-04
1.848993288590604152e+03 2.848375590189950568e+00 3.133768828162126255e+24 1.042513440925021224e-03
1.857718120805369153e+03 3.153520088358904072e+00 3.465832626871147847e+24 1.084947893564990832e-03
1.866442953020134155e+03 3.488316795100506518e+00 3.829723721766734850e+24 2.066968609969187329e-03
1.875167785234899384e+03 3.855350747096372377e+00 4.228166703868587570e+24 2.218138220082882181e-03
1.883892617449664385e+03 4.257406531184832588e+00 4.664091082482306655e+24 2.378375092775299009e-03
1.892617449664429614e+03 4.697481730772780750e+00 5.140644532955210783e+24 2.548102729792613066e-03
1.901342281879194616e+03 5.178801154704661514e+00 5.661206859413526688e+24 2.727748826984029325e-03
1.910067114093959844e+03 5.704831888312396515e+00 6.229404703559925994e+24 2.917752593202674501e-03
