# T P mol abs
1.500000000000000000e+03 1.977809231672607304e-02 2.679289487631787124e+22 2.121311521503012505e-03
1.512605042016806692e+03 2.457863006928808283e-02 3.325362801424942393e+22 2.452691652204634382e-03
1.525210084033613384e+03 3.043910167555569091e-02 4.112963560019102951e+22 2.825385668162137733e-03
1.537815126050420076e+03 3.757029170374660831e-02 5.069965095183085837e+22 3.244558747865035776e-03
1.550420168067226996e+03 4.622025660691325005e-02 6.229109646472792926e+22 3.715036130078892222e-03
1.563025210084033688e+03 5.668008444423986575e-02 7.628748881294260175e+22 4.241490009911302352e-03
1.575630252100840380e+03 6.929041381673479993e-02 9.313679900192393082e+22 4.829043051310393311e-03
1.588235294117647072e+03 8.444879437022954904e-02 1.133608674107588189e+23 5.483914068126484812e-03
1.600840336134453764e+03 1.026179781707855926e-01 1.375659819003806367e+23 6.213743365252402846e-03
1.613445378151260456e+03 1.243352386309421326e-01 1.664547354102702916e+23 7.027450469329728916e-03
1.626050420168067149e+03 1.502228214786830163e-01 2.008392882265050820e+23 7.934713919177003097e-03
1.638655462184874068e+03 1.809996405352413129e-01 2.416561692867358433e+23 8.945325805891994261e-03
1.651260504201680760e+03 2.174943398256390381e-01 2.899827605010239822e+23 1.006871768396991156e-02
1.663865546218487452e+03 2.606598528122137659e-01 3.470556181198817890e+23 1.131384975814176373e-02
1.676470588235294144e+03 3.115895993441609724e-01 4.142907956812908237e+23 1.268945100582203125e-02
1.689075630252100837e+03 3.715354712862238840e-01 4.933063440263585768e+23 1.420442344032296807e-02
1.701680672268907529e+03 4.419277687615145167e-01 5.859471752987170853e+23 1.586818448921428065e-02
1.714285714285714221e+03 5.243972605554952926e-01 6.943124897467530991e+23 1.769081434917657916e-02
1.726890756302520913e+03 6.207995545232033452e-01 8.207859765421981659e+23 1.968300819402626217e-02
1.739495798319327605e+03 7.332419768678166694e-01 9.680690127267836912e+23 2.185590962410739746e-02
1.752100840336134524e+03 8.641131729686188923e-01 1.139217097814653343e+24 2.422088842651216878e-02
1.764705882352941217e+03 1.016115657090084001e+00 1.337679775528703213e+24 2.678926315857698554e-02
1.777310924369747909e+03 1.192301553866501385e+00 1.567344308650946542e+24 2.957193033078894112e-02
1.789915966386554601e+03 1.396111791001857005e+00 1.832583388041032866e+24 3.257889167902151134e-02
1.802521008403361293e+03 1.631419020233057404e+00 2.138307172544603622e+24 3.581874826806310391e-02
1.815126050420167985e+03 1.902574562365310085e+00 2.490019972799207811e+24 3.929828726381191101e-02
1.827731092436974905e+03 2.214459692199691521e+00 2.893881908877370193e+24 4.302227198040588230e-02
1.840336134453781597e+03 2.572541600542527451e+00 3.356775889315080167e+24 4.699346765864895886e-02
1.852941176470588289e+03 2.982934393331961864e+00 3.886380277393492489e+24 5.121285014960361842e-02
1.865546218487394981e+03 3.452465512367583145e+00 4.491247629610432997e+24 5.567990113187430007e-02
1.878151260504201673e+03 3.988747988325331395e+00 5.180889911140357012e+24 6.039290007446942304e-02
1.890756302521008365e+03 4.600258964832197428e+00 5.965870613782697605e+24 6.534915750810116331e-02
1.903361344537815057e+03 5.296424962531382619e+00 6.857904223497089085e+24 7.054517141197323704e-02
1.915966386554621749e+03 6.087714384461907713e+00 7.869963507175081684e+24 7.597671620271059800e-02
1.928571428571428442e+03 6.985737798902484030e+00 9.016395111875287284e+24 8.163888855458062421e-02
1.941176470588235361e+03 8.003356573290533404e+00 1.031304399442586365e+25 8.752613518455404362e-02
1.953781512605042053e+03 9.154800473142348238e+00 1.177738722516079718e+25 9.363227639055021756e-02
1.966386554621848745e+03 1.045579488330618290e+01 1.342867773670461397e+25 9.995052264073743531e-02
1.978991596638655437e+03 1.192369835562235281e+01 1.528809861725962390e+25 1.064734713784846742e-01
